"","cd_cvm","nome_companhia"
"369","022160","POLO CAPITAL SECURITIZADORA S.A"
"370","022250","OURINVEST SECURITIZADORA SA"
"371","022314","CÁSPIO PARTICIPAÇÕES S/A"
"372","022322","VOSTOK PARTICIPAÇÕES SA"
"373","022462","MÊNFIS PARTICIPAÇÕES S.A."
"374","022292","STEIN SP II PARTICIPAÇÕES S.A."
"375","022527","PERENCO PETRÓLEO E GÁS DO BRASIL PARTICIPAÇÕES S.A."
"376","022233","BRASIL PLURAL SECURITIZADORA S.A."
"377","022675","HIDROVIAS DO BRASIL S.A."
"378","022748","PATMOS PARTICIPAÇÕES S.A."
"379","022713","EGEU PARTICIPAÇÕES S.A."
"380","022489","FORTE SECURITIZADORA S.A."
"381","001120","BCO ESTADO DE SERGIPE S.A. - BANESE"
"382","018996","ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A"
"383","009784","PRONOR PETROQUIMICA SA"
"384","009857","QGN PARTICIPAÇÕES SA"
"385","004359","ELEKEIROZ S.A."
"386","001597","PARTICIPAÇÕES INDUST. DO NORDESTE S.A."
"387","020729","PARANA BCO S.A."
"388","012696","SANSUY S.A. INDUSTRIA DE PLASTICOS"
"389","021156","J. MACEDO S.A."
"390","004863","CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA"
"391","011398","TRONOX PIGMENTOS DO BRASIL S.A."
"392","006955","IND AZULEJOS BAHIA SA"
"393","014524","CIA ELETRICIDADE EST. DA BAHIA - COELBA"
"394","003069","CIA FERRO LIGAS DA BAHIA - FERBASA"
"395","003115","CIA SEGUROS ALIANCA DA BAHIA"
"396","005576","ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A."
"397","008745","METANOR SA METANOL DO NE"
"398","013986","SUZANO S.A."
"399","022349","AREZZO INDÚSTRIA E COMÉRCIO S.A."
"400","021350","DIRECIONAL ENGENHARIA S.A."
"401","019739","LOCALIZA RENT A CAR S.A."
"402","002453","CIA ENERGETICA DE MINAS GERAIS - CEMIG"
"403","005983","FIACAO TEC SAO JOSE S.A."
"404","008818","MINASMAQUINAS S.A."
"405","004782","MENDES JUNIOR ENGENHARIA S.A."
"406","009954","ALFA HOLDINGS S.A."
"407","003891","FINANCEIRA ALFA S.A.- CRED FINANC E INVS"
"408","001325","BCO MERCANTIL DO BRASIL S.A."
"409","004707","CONSORCIO ALFA DE ADMINISTRACAO S.A."
"410","003077","CIA FIACAO TECIDOS CEDRO CACHOEIRA"
"411","019445","CIA SANEAMENTO DE MINAS GERAIS-COPASA MG"
"412","014028","VALE FERTILIZANTES S.A."
"413","003395","CIA INDUSTRIAL CATAGUASES"
"414","003271","ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A"
"415","004111","CACHOEIRA VELONORTE"
"416","004081","CIA TECIDOS SANTANENSE"
