"cd_cvm","nome_companhia"
"016241","SOC.DE ABASTEC.DE ÁGUA E SANEAMENTO S.A."
"020559","SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL"
"014826","CIA BRASILEIRA DE DISTRIBUICAO"
"019640","BRADESCO LEASING S.A. ARREND MERCANTIL"
"022470","MAGAZINE LUIZA S.A."
"020877","HELBOR EMPREENDIMENTOS S.A."
"021440","RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A."
"012190","BOMBRIL S.A."
"011762","VULCABRAS S.A."
"021334","NUTRIPLANT INDUSTRIA E COMERCIO S.A."
"020494","IGUATEMI EMPRESA DE SHOPPING CENTERS S.A"
"013471","PLASCAR PARTICIPACOES INDUSTRIAIS S.A."
"022020","JSL S.A."
"002488","CERAMICA CHIARELLI SA"
"019992","TOTVS S.A."
"019755","HSBC LEASING ARRENDAMENTO MERCANTIL (BRASIL) S/A"
"012262","JPSP INVESTIMENTOS E PARTICIPAÇÕES S/A"
"012530","ITAUTEC S.A. - GRUPO ITAUTEC"
"014850","HAUSCENTER SA"
"005770","EUCATEX S.A. INDUSTRIA E COMERCIO"
"007510","INDUSTRIAS ROMI S.A."
"014559","M&G POLIÉSTER SA"
"001694","BICICLETAS MONARK S.A."
"001686","PRÓ METALURGIA SA"
"020125","ODONTOPREV S.A."
"019046","BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A."
"022381","AUTOMETAL S.A."
